# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10635
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=20 d=2.54268 t=10412
dong zheng 	東征	c=1 d=1 t=4896
dou 	都	c=5 d=1.33204 t=10309
dou bu dong 	都不懂	c=1 d=1 t=10514
dou bu neng 	都不能	c=1 d=1 t=1328
dou hui 	都會	c=1 d=1 t=6637
dou hui you 	都會有	c=1 d=1 t=1698
dou mei you 	都沒有	c=2 d=1 t=8005
dou neng 	都能	c=2 d=1.00715 t=8774
dou neng guo le 	都能過了	c=1 d=1 t=8201
dou shi 	都是	c=11 d=1.00067 t=10475
dou wu suo wei 	都無所謂	c=1 d=1 t=2449
dou yao 	都要	c=1 d=1 t=9560
du 	度	c=1 d=0.100639 t=5096
du 	讀	c=0 d=0.1 t=12
du cao zuo 	讀操作	c=1 d=1 t=13
du lai du wang 	獨來獨往	c=1 d=1 t=8129
du li 	獨立	c=2 d=1 t=8286
du qu 	讀取	c=1 d=1 t=2465
du ru 	讀入	c=1 d=1 t=2472
du zhu 	賭注	c=1 d=1 t=8795
du zun ru shu 	獨尊儒術	c=1 d=1 t=3193
duan 	短	c=1 d=1 t=2624
duan lian 	鍛鍊	c=1 d=1 t=2112
duan luo 	段落	c=1 d=1 t=9254
duan you 	斷油	c=1 d=1 t=78
dui 	對	c=10 d=1.38911 t=9802
dui ba 	對吧	c=4 d=1 t=10478
dui bu dui 	對不對	c=1 d=1 t=719
dui bu qi 	對不起	c=6 d=1 t=8623
dui chen 	對稱	c=1 d=1 t=2139
dui de 	對的	c=1 d=1 t=9178
dui huan 	兌換	c=1 d=1 t=69
dui jie 	對階	c=1 d=1 t=3407
dui le 	對了	c=2 d=1 t=10056
dui lie 	隊列	c=4 d=2.51253 t=2397
dui ma 	對嗎	c=15 d=1 t=10632
dui qi 	對齊	c=1 d=1 t=9892
dui xiang 	對象	c=6 d=4.98501 t=1274
dui ying 	對應	c=4 d=1 t=9815
dui yu 	對於	c=7 d=1.18202 t=9183
dui zi yuan 	對資源	c=1 d=1 t=1232
duo 	多	c=7 d=1.00008 t=10129
duo chong 	多重	c=1 d=1 t=2266
duo da 	多大	c=1 d=0.1 t=8106
duo fen 	多分	c=1 d=1 t=7241
duo ge 	多個	c=1 d=1 t=8946
duo la 	哆啦	c=8 d=1.00001 t=7839
duo le 	多了	c=1 d=1 t=2108
duo ren 	多人	c=2 d=1.08458 t=5243
duo shao 	多少	c=3 d=1.93707 t=9297
duo shao fen 	多少分	c=1 d=1 t=7132
duo shao le 	多少了	c=1 d=1 t=1203
duo shi pin 	多視頻	c=1 d=1 t=4235
duo wen jian 	多文件	c=2 d=1 t=9933
duo xian cheng 	多線程	c=5 d=1.00001 t=3800
duo xie 	多謝	c=1 d=1 t=10540
e 	鵝	c=1 d=1 t=5401
e cheng 	鄂城	c=0 d=0.1 t=9588
e cheng xu 	鄂城虛	c=1 d=1 t=9589
e e 	哦哦	c=2 d=1.00001 t=10490
e lie 	惡劣	c=1 d=1 t=4325
e luo si 	俄羅斯	c=1 d=1 t=5180
e sha 	扼殺	c=1 d=1 t=3253
e si 	餓死	c=1 d=1 t=3244
e yi 	惡意	c=1 d=1 t=4668
e yu 	俄語	c=14 d=12.5858 t=1763
en 	恩	c=1 d=1 t=8077
en en 	嗯嗯	c=6 d=2.08021 t=10265
er 	二	c=6 d=1.00023 t=10010
er 	兒	c=2 d=1 t=7547
er 	而	c=1 d=1 t=506
er bu shi 	而不是	c=4 d=1 t=10318
er cha 	二叉	c=1 d=1 t=1553
er cheng 	二程	c=2 d=1.64404 t=3217
er ji 	二級	c=2 d=1.9802 t=87
er ji 	耳機	c=1 d=1 t=3779
er lei 	二類	c=0 d=0.1 t=10129
er lei ka 	二類卡	c=1 d=1 t=10130
er lie 	二列	c=1 d=1 t=9291
er qie 	而且	c=9 d=2.86223 t=5130
er shi 	兒時	c=1 d=1 t=4041
er shi 	而是	c=3 d=1.12493 t=3544
er tong 	兒童	c=2 d=1 t=4125
er wei 	二位	c=1 d=1 t=2130
er wei 	二維	c=1 d=1 t=2132
er yuan 	二元	c=0 d=0.1 t=2742
er yuan zu 	二元組	c=1 d=1 t=2743
er zhan 	二戰	c=2 d=1.00007 t=5901
fa 	法	c=4 d=1.0139 t=4089
fa biao 	發表	c=2 d=1.00001 t=7108
fa bu 	發佈	c=9 d=1 t=9901
fa de 	發的	c=2 d=1 t=8022
fa dong 	發動	c=1 d=1 t=5510
fa ge 	發個	c=1 d=1 t=48
fa guo 	法國	c=2 d=1.9802 t=5315
fa guo 	發過	c=1 d=1 t=4252
fa jia 	法家	c=2 d=1.8311 t=3207
fa lai 	發來	c=1 d=1 t=586
fa sheng 	發生	c=4 d=1 t=9153
fa song 	發送	c=4 d=1.00004 t=6812
fa wo 	發我	c=1 d=1 t=9607
fa wu 	發物	c=1 d=1 t=5362
fa xian 	發現	c=5 d=1 t=10585
fa yin 	發音	c=13 d=1.90513 t=8947
fa yu 	法語	c=1 d=1 t=1802
fa zhan 	發展	c=1 d=1 t=298
fan chou 	範疇	c=1 d=1 t=3267
fan hou 	飯後	c=0 d=0.1 t=3925
fan hou tan zi 	飯後談資	c=1 d=1 t=3926
fan hui 	返回	c=2 d=1.88692 t=6317
fan hui zhi 	返回值	c=3 d=1.10681 t=1301
fan li 	範例	c=1 d=1 t=9588
fan wei 	範圍	c=2 d=1.00016 t=9151
fan wei nei 	範圍內	c=1 d=1 t=3945
fan wu zhi 	反物質	c=1 d=1 t=5478
fan xie gang 	反斜槓	c=2 d=1.0305 t=976
fan xin 	煩心	c=1 d=1 t=4831
fan yi 	翻譯	c=6 d=1.00671 t=9201
fan zhuan 	反轉	c=2 d=1.92774 t=1019
fang an 	方案	c=3 d=2.04936 t=789
fang bian 	方便	c=1 d=1 t=8710
fang da 	放大	c=1 d=1 t=6596
fang de 	放的	c=1 d=1 t=8698
fang fa 	方法	c=4 d=1.00001 t=7371
fang fa lun 	方法論	c=1 d=1 t=3584
fang fa yi 	方法一	c=2 d=1.956 t=560
fang fan 	防範	c=1 d=1 t=3095
fang mian 	方面	c=1 d=1 t=413
fang shi 	方式	c=5 d=1.97045 t=9413
fang wen 	訪問	c=6 d=1.99206 t=3672
fang xiang jian 	方向鍵	c=1 d=1 t=9520
fang yan 	方言	c=5 d=1.94176 t=4389
fang zai 	放在	c=2 d=1 t=9937
fang zhen 	仿真	c=1 d=1 t=6162
fang zhi 	防止	c=1 d=1 t=338
fei 	菲	c=1 d=1 t=8573
fei 	非	c=2 d=0.100074 t=10475
fei ding xiang 	非定向	c=1 d=1 t=10476
fei ji 	飛機	c=1 d=1 t=8574
fei tian 	飛天	c=1 d=1 t=4038
fei yan 	肺癌	c=1 d=1 t=7990
fen 	分	c=3 d=1.8639 t=7412
fen bie 	分別	c=1 d=1 t=2238
fen bu 	分佈	c=1 d=1 t=552
fen bu shi 	分佈式	c=1 d=1 t=1132
fen ge 	分割	c=5 d=2.8561 t=9411
fen lei 	分類	c=1 d=1 t=9864
fen liang 	分量	c=0 d=0.1 t=2762
fen ping 	分屏	c=12 d=3.96526 t=9359
fen qu 	分區	c=1 d=1 t=2540
fen shu 	分數	c=1 d=1 t=7400
fen xi 	分析	c=13 d=1.34579 t=9753
fen xi su 	分析速	c=1 d=1 t=9748
fen xiang 	分享	c=2 d=1 t=3653
fen zhi 	分治	c=1 d=1 t=6967
feng 	鋒	c=1 d=1 t=5918
feng niao 	蜂鳥	c=2 d=1 t=9100
feng nuo yi man 	馮諾依曼	c=3 d=2.86321 t=2970
feng xian 	鳳仙	c=1 d=1 t=5397
feng ye 	楓葉	c=1 d=1 t=4060
find 	find 	c=2 d=1.00124 t=1427
fo 	佛	c=1 d=1 t=5872
fou ren 	否認	c=1 d=1 t=4016
fu 	父	c=1 d=1 t=9536
fu 	符	c=0 d=0.1 t=9741
fu 	覆	c=1 d=1 t=3802
fu chu 	付出	c=2 d=1.1028 t=5869
fu chu 	復出	c=1 d=1 t=4849
fu dai 	附帶	c=4 d=1.91393 t=6059
fu dian 	浮點	c=1 d=1 t=688
fu dian shu 	浮點數	c=1 d=1 t=10308
fu dong 	浮動	c=3 d=2.64229 t=6578
fu fei 	付費	c=3 d=1.95123 t=10623
fu hao 	符號	c=11 d=3.03 t=9927
fu hao biao 	符號表	c=2 d=1 t=6446
fu he 	符合	c=1 d=1 t=3977
fu jin cheng 	父進程	c=1 d=1 t=1535
fu li ye 	傅里葉	c=1 d=1 t=1499
fu shu 	負數	c=1 d=1 t=3365
fu wu 	服務	c=2 d=1.04649 t=9292
fu wu qi 	服務器	c=3 d=1 t=10590
fu xi 	複習	c=6 d=0.174274 t=10516
fu yong 	服用	c=1 d=1 t=6441
fu za 	複雜	c=1 d=1 t=825
fu za du 	複雜度	c=1 d=1 t=6855
fu za xing 	複雜性	c=1 d=1 t=6101
fu zeng 	附贈	c=2 d=1 t=8910
fu zhi 	複製	c=5 d=1 t=9463
fu zhi 	賦值	c=1 d=1 t=758
fu zhu 	輔助	c=3 d=1 t=7032
ga zi 	嘎子	c=2 d=1.99501 t=5740
gai 	改	c=1 d=1 t=10480
gai 	該	c=3 d=1.20411 t=9618
gai bian 	改變	c=1 d=1 t=3037
gai bian 	該邊	c=1 d=1 t=2198
gai ci 	蓋茨	c=1 d=1 t=302
gai fu wu 	該服務	c=1 d=1 t=9293
gai ge 	改革	c=2 d=1 t=9103
gai han shu 	該函數	c=1 d=1 t=919
gai hu 	該弧	c=1 d=1 t=2191
gai huo dong 	該活動	c=1 d=1 t=2652
gai jia 	改嫁	c=1 d=1 t=3158
gai lan 	概覽	c=1 d=1 t=1415
gai lv lun 	概率論	c=1 d=1 t=3816
gai nian 	概念	c=4 d=1 t=6094
gai ru he 	該如何	c=1 d=1 t=7377
gai shu 	概述	c=1 d=1 t=6189
gai zen me 	該怎麼	c=1 d=1 t=8547
gan 	幹	c=1 d=1 t=73
gan gan jing jing 	乾乾淨淨	c=1 d=1 t=8721
gan jin 	趕緊	c=1 d=1 t=8172
gan jue 	感覺	c=15 d=1.0018 t=10449
gan rao 	干擾	c=1 d=1 t=4833
gan shou 	感受	c=1 d=1 t=4761
gan xie 	感謝	c=1 d=1 t=5410
gan xie ni 	感謝你	c=1 d=1 t=8541
gan xing qu 	感興趣	c=1 d=1 t=39
gang cai 	剛纔	c=1 d=1 t=8099
gang gang 	剛剛	c=1 d=1 t=7334
gao 	高	c=0 d=0.1 t=3521
gao deng 	高等	c=4 d=1.96563 t=6197
gao deng shu xue 	高等數學	c=1 d=1 t=3820
gao du 	高度	c=2 d=1.98511 t=9418
gao ji 	高級	c=3 d=1 t=7218
gao jian 	稿件	c=1 d=1 t=4516
gao liang 	高亮	c=2 d=1.82696 t=6738
gao neng 	高能	c=2 d=1.00149 t=4113
gao pin 	高頻	c=1 d=1 t=1942
gao su 	告訴	c=2 d=1 t=6549
gao wo 	告我	c=1 d=1 t=75
gao xiao 	搞笑	c=2 d=1.00001 t=4082
gao xiao 	高效	c=1 d=1 t=186
gao zhong 	高中	c=2 d=1 t=8932
gao zhong liang 	高重量	c=1 d=1 t=3522
ge 	個	c=15 d=3.569 t=8523
ge dian 	各點	c=1 d=1 t=2725
ge kai 	隔開	c=4 d=3.59011 t=2378
ge ren 	個人	c=3 d=1 t=9097
ge shi 	格式	c=7 d=1.13876 t=9457
ge shi hua 	格式化	c=1 d=1 t=6477
ge shu 	個數	c=1 d=1 t=6978
ge zhong 	各種	c=4 d=1 t=10424
gei 	給	c=3 d=1 t=9781
gei ding 	給定	c=1 d=0.844532 t=9869
gei ding yi ge 	給定一個	c=1 d=1 t=9870
gei ni 	給你	c=1 d=1 t=4548
gei wo 	給我	c=1 d=1 t=5171
gei zi ji 	給自己	c=2 d=1.96561 t=1090
gen 	跟	c=11 d=1.05017 t=8892
gen ben 	根本	c=2 d=1.0001 t=5065
gen du 	跟度	c=1 d=1 t=8954
gen feng 	跟風	c=1 d=1 t=8671
gen ju 	根據	c=3 d=1.07941 t=6018
gen na ren 	跟那人	c=1 d=1 t=5235
gen ni 	跟你	c=5 d=1 t=7468
gen shui 	跟誰	c=2 d=1.07045 t=6801
gen shui xue 	跟誰學	c=2 d=1.00795 t=7769
gen ta 	跟他	c=1 d=1 t=4781
gen zhe 	跟着	c=1 d=1 t=8950
geng 	更	c=1 d=1 t=3727
geng bu yong shuo 	更不用說	c=1 d=1 t=3720
geng da 	更大	c=1 d=1 t=1326
geng duo 	更多	c=1 d=1 t=4419
geng gai 	更改	c=1 d=1 t=7155
geng hao 	更好	c=1 d=1 t=5222
geng kuai 	更快	c=1 d=1 t=6683
geng qing xi 	更清晰	c=1 d=1 t=5204
geng xi huan 	更喜歡	c=1 d=1 t=3422
geng xiao 	更小	c=1 d=1 t=9761
gong 	共	c=1 d=1 t=7099
gong 	宮	c=2 d=1.92312 t=6061
gong chan dang 	共產黨	c=1 d=1 t=5439
gong cheng 	工程	c=2 d=1.8781 t=7046
gong fu 	功夫	c=1 d=1 t=5934
gong gong 	公共	c=1 d=1 t=2820
gong he guo 	共和國	c=1 d=1 t=5851
gong ju 	工具	c=8 d=1.00413 t=9531
gong kai 	公開	c=3 d=2.70426 t=8834
gong kai ke 	公開課	c=4 d=3.07028 t=4068
gong min 	公民	c=1 d=1 t=1561
gong neng 	功能	c=1 d=1.02865 t=9526
gong ping 	公平	c=1 d=1 t=8833
gong xiang 	共享	c=3 d=1 t=9734
gong xiang ku 	共享庫	c=2 d=1.86071 t=558
gong zuo 	工作	c=8 d=1.00009 t=6826
gou 	夠	c=0 d=0.1 t=1713
gou cheng 	構成	c=2 d=1.37531 t=3833
gou mai 	購買	c=17 d=1.00965 t=8594
gou tong 	溝通	c=3 d=1.20893 t=5154
gu 	顧	c=5 d=1.45371 t=8465
gu ge 	谷歌	c=3 d=1 t=6060
gu shi 	故事	c=3 d=2.29992 t=5535
gu yi 	故意	c=1 d=1 t=4454
gu zhang 	故障	c=1 d=1 t=4643
gu zuo 	故作	c=1 d=1 t=8674
gua fu 	寡婦	c=1 d=1 t=3156
guan 	冠	c=1 d=1 t=7979
guan bi 	關閉	c=4 d=1 t=9371
guan dao 	管道	c=3 d=1.00086 t=8336
guan hao 	管好	c=1 d=1 t=8136
guan jian 	關鍵	c=4 d=1 t=8485
guan jian lu jing 	關鍵路徑	c=1 d=1 t=2599
guan kan 	觀看	c=1 d=1 t=6511
guan li 	管理	c=5 d=1.93768 t=6735
guan li qi 	管理器	c=1 d=1 t=6722
guan wang 	官網	c=6 d=1.00182 t=7922
guan xi 	關係	c=4 d=1.00013 t=8109
guan xi ji 	關係集	c=1 d=1 t=2738
guan xue 	官學	c=1 d=1 t=3151
guan yu 	關於	c=4 d=1.17464 t=8337
guan zhu 	關注	c=1 d=1 t=3430
guang 	廣	c=3 d=1.17881 t=2803
guang biao 	光標	c=2 d=1 t=8404
guang du 	廣度	c=2 d=1.40052 t=2332
guang gao 	廣告	c=4 d=1.00001 t=5752
guang pan 	光盤	c=4 d=3.65691 t=6056
guang yi 	廣義	c=4 d=3.85052 t=9250
gui 	貴	c=0 d=0.1 t=5125
gui ding 	規定	c=1 d=0.1 t=5351
gui ding gai 	規定改	c=1 d=1 t=5352
gui fan 	規範	c=1 d=1 t=3891
gui ge hua 	規格化	c=1 d=1 t=3410
gui gu zi 	鬼谷子	c=1 d=1 t=5361
gui ze 	規則	c=1 d=1 t=10214
gui zi 	鬼子	c=1 d=1 t=4109
guo 	國	c=1 d=1 t=6657
guo 	過	c=3 d=1.01801 t=9156
guo cheng 	過程	c=1 d=1 t=814
guo jia 	國家	c=3 d=1.00417 t=6268
guo jia di li 	國家地理	c=1 d=1 t=5341
guo lai le 	過來了	c=1 d=1 t=1395
guo le 	過了	c=0 d=0.1 t=8200
guo min dang 	國民黨	c=1 d=1 t=5925
guo mu 	過目	c=1 d=1 t=4079
guo nei 	國內	c=2 d=1 t=7017
guo nei yuan 	過內源	c=1 d=1 t=6656
guo qu 	過去	c=2 d=1.00119 t=7905
guo shang 	過上	c=0 d=0.1 t=5858
guo wai 	國外	c=1 d=1 t=228
ha fo 	哈佛	c=1 d=1 t=3101
ha gong da 	哈工大	c=3 d=1.89553 t=10205
hai 	還	c=4 d=1.00001 t=7312
hai er 	海爾	c=1 d=1 t=4035
hai hao 	還好	c=0 d=0.1 t=3153
hai hao yi dian 	還好一點	c=1 d=1 t=3154
hai ke yi 	還可以	c=1 d=1 t=4459
hai mei 	還沒	c=1 d=0.1 t=10426
hai mei bi ye 	還沒畢業	c=1 d=1 t=10427
hai mei you 	還沒有	c=1 d=1 t=3305
hai mian 	海綿	c=1 d=1 t=4843
hai neng 	還能	c=1 d=1 t=7112
hai shi 	還是	c=8 d=1.12007 t=10571
hai ting 	還挺	c=0 d=0.1 t=6304
hai ting ji chu 	還挺基礎	c=1 d=1 t=6305
hai xu yao 	還需要	c=1 d=1 t=10499
hai yang 	海洋	c=1 d=1 t=2045
hai you 	還有	c=6 d=0.474059 t=10056
hai you jiu shi 	還有就是	c=1 d=1 t=6816
hai you yi jian shi 	還有一件事	c=1 d=1 t=10057
hai zai 	還在	c=1 d=1 t=5073
han guo ren 	韓國人	c=1 d=1 t=9190
han liang 	含量	c=1 d=1 t=799
han nuo 	漢諾	c=0 d=0.1 t=9621
han nuo ta 	漢諾塔	c=1 d=1 t=9622
han shu 	函數	c=12 d=0.103873 t=9579
han shu zhong 	函數中	c=1 d=1 t=922
han yi 	含義	c=1 d=1 t=4394
han you 	含有	c=1 d=1 t=109
han yu 	漢語	c=3 d=1.81316 t=1855
hang 	行	c=9 d=1.9988 t=9642
hang jian ju 	行間距	c=1 d=1 t=969
hao 	好	c=6 d=1.00004 t=10124
hao 	浩	c=1 d=1 t=10292
hao 	號	c=0 d=0.103996 t=4776
hao ba 	好吧	c=5 d=1.63445 t=10580
hao ban fa 	好辦法	c=1 d=1 t=5116
hao bi 	好比	c=1 d=1 t=8746
hao chu 	好處	c=1 d=1 t=10574
hao de 	好的	c=1 d=1 t=3164
hao duo 	好多	c=1 d=1 t=4229
hao hao 	好好	c=4 d=1.69818 t=8977
hao ji nian 	好幾年	c=1 d=1 t=7483
hao le 	好了	c=2 d=1.88318 t=7907
hao ma 	好嗎	c=5 d=1.22313 t=10398
hao ma fan 	好麻煩	c=1 d=1 t=10376
hao miao 	毫秒	c=1 d=1 t=9285
hao ping 	好評	c=2 d=1.64664 t=7581
hao ping zeng song 	好評贈送	c=2 d=1.97045 t=7572
hao qiang 	好強	c=0 d=0.1 t=10290
hao xiang 	好像	c=12 d=3.46397 t=10512
hao xiang mei you 	好像沒有	c=1 d=1 t=10363
hao xiang mei zhao dao 	好像沒找到	c=1 d=1 t=10266
hao xiang shi 	好象是	c=1 d=1 t=10435
hao xie 	好些	c=1 d=1 t=3329
hao yi dian 	好一點	c=1 d=1 t=265
hao zai 	好在	c=1 d=1 t=8513
he 	和	c=26 d=1.00004 t=10297
he 	賀	c=4 d=2.34254 t=8162
he bi 	何必	c=1 d=1 t=4439
he bing 	合併	c=7 d=1.9513 t=10000
he dui 	覈對	c=1 d=1 t=4613
he jie 	和解	c=1 d=1 t=4636
he liu 	合流	c=0 d=0.1 t=3212
he shi 	合適	c=1 d=1 t=3752
he shi 	覈實	c=3 d=1.6005 t=10525
he xin 	核心	c=3 d=2.83236 t=2989
he xin shu 	核心數	c=1 d=1 t=1199
hei 	黑	c=1 d=0.100043 t=5567
hei dong 	黑洞	c=1 d=1 t=5477
hei ke 	黑客	c=1 d=1 t=5883
hei ma 	黑馬	c=4 d=2.85104 t=1384
hei mao 	黑貓	c=1 d=1 t=4040
hen 	很	c=10 d=1.67227 t=9160
hen da 	很大	c=1 d=1 t=5098
hen dui 	很對	c=0 d=0.1 t=8488
hen duo 	很多	c=7 d=0.937067 t=10635
hen duo ren 	很多人	c=1 d=1 t=8670
hen fang bian 	很方便	c=1 d=1 t=8733
hen fu za 	很複雜	c=3 d=1.56505 t=5137
hen gao 	很高	c=0 d=0.192312 t=8680
hen gao da shang 	很高打上	c=1 d=1 t=8681
hen gao shen 	很高深	c=1 d=1 t=8665
hen hao 	很好	c=3 d=1 t=9089
hen jian dan 	很簡單	c=0 d=0.1 t=9048
hen jian dan le 	很簡單了	c=1 d=1 t=9049
hen jiu yi qian 	很久以前	c=1 d=1 t=1383
hen kun nan 	很困難	c=1 d=1 t=9981
hen mi ji 	很密集	c=1 d=1 t=5089
hen nan 	很難	c=1 d=1.0208 t=4622
hen nan shou 	很難受	c=1 d=1 t=8118
hen nan ting 	很難聽	c=2 d=1.10807 t=4754
hen qing chu 	很清楚	c=1 d=1 t=8216
hen shao you 	很少有	c=1 d=1 t=2678
hen you xiu 	很優秀	c=1 d=1 t=4357
hen zheng chang 	很正常	c=1 d=1 t=120
hen zheng qi 	很整齊	c=1 d=1 t=8725
hen zhong yao 	很重要	c=1 d=1 t=8845
heng liang 	衡量	c=1 d=1 t=6097
hong 	宏	c=3 d=1 t=9023
hong 	紅	c=1 d=1 t=6746
hong bao 	宏包	c=1 d=1 t=9075
hong ding yi 	宏定義	c=1 d=1 t=633
hong lou meng 	紅樓夢	c=1 d=1 t=4116
hong mei 	紅梅	c=0 d=0.1 t=6028
hou 	後	c=5 d=1.00009 t=10314
hou 	猴	c=1 d=1.09753 t=6718
hou dun 	後盾	c=0 d=0.1 t=1436
hou dun wang 	後盾網	c=1 d=1 t=1437
hou mian 	後面	c=2 d=1.94176 t=8367
hou qi 	後期	c=1 d=1 t=5927
hou tai 	後臺	c=2 d=1.94176 t=1020
hou tui 	後退	c=1 d=1 t=6591
hou zhui 	後綴	c=1 d=1 t=7748
hu 	弧	c=13 d=7.09519 t=2645
hu 	虎	c=2 d=1.92312 t=6062
hu chi 	互斥	c=5 d=3.98642 t=1287
hu chi liang 	互斥量	c=1 d=1 t=1288
hu huan 	互換	c=3 d=2.97025 t=6420
hu huan 	呼喚	c=1 d=1 t=6402
hu ji 	戶籍	c=1 d=1 t=10451
hu kou 	戶口	c=3 d=2.52046 t=10566
hu lu 	葫蘆	c=1 d=1 t=4048
hu lve 	忽略	c=5 d=2.96097 t=9631
hu xiang 	互相	c=2 d=1 t=8793
hua 	化	c=1 d=1 t=9458
hua 	花	c=2 d=1.8311 t=3718
hua 	話	c=24 d=1.89456 t=9699
hua bei 	華北	c=3 d=1.29083 t=9328
hua dian 	華電	c=2 d=1.0696 t=6581
hua dong 	華東	c=0 d=0.1 t=1704
hua dong li gong 	華東理工	c=1 d=1 t=1705
hua fen 	劃分	c=1 d=1 t=7142
hua le 	花了	c=1 d=1 t=8064
hua shi jian 	花時間	c=1 d=1 t=3676
hua ti 	話題	c=1 d=1 t=415
hua xue 	化學	c=0 d=0.1 t=4928
hua xue shi 	化學史	c=1 d=1 t=4929
hua zhi 	畫質	c=1 d=1 t=3875
huan 	換	c=3 d=2.44513 t=870
huan cheng 	換成	c=1 d=1 t=10074
huan chong 	緩衝	c=4 d=1.0024 t=8333
huan chong qu 	緩衝區	c=4 d=2.95556 t=9338
huan cun 	緩存	c=1 d=1 t=6905
huan hang 	換行	c=2 d=1 t=5652
huan hui lai 	換回來	c=1 d=1 t=10635
huan jing 	環境	c=6 d=1.00026 t=8331
huan ju hua 	換句話	c=1 d=1 t=2781
huan wei 	換位	c=1 d=1 t=4607
huan ye 	換頁	c=1 d=1 t=990
huan yuan 	還原	c=1 d=1 t=6598
huang pian 	黃片	c=0 d=0.1 t=2106
hui 	會	c=14 d=1.07298 t=10456
hui 	輝	c=1 d=1 t=10229
hui bei 	會被	c=1 d=1 t=6934
hui bi 	會比	c=1 d=1 t=250
hui bian 	彙編	c=4 d=2.72719 t=10007
hui che 	回車	c=1 d=1 t=9518
hui dao 	回到	c=1 d=1 t=10579
hui dian 	匯點	c=1 d=1 t=2614
hui fang 	回放	c=1 d=1 t=7761
hui fu 	回覆	c=1 d=1 t=4796
hui fu 	恢復	c=3 d=1 t=10212
hui gu 	回顧	c=1 d=1 t=5886
hui jia 	回家	c=2 d=1 t=8876
hui lai 	回來	c=1 d=1 t=4751
hui lu 	迴路	c=2 d=1.8311 t=2594
hui shuo 	會說	c=2 d=1.97045 t=4386
hui ti shi 	會提示	c=1 d=1 t=4515
hui yi 	會議	c=1 d=1 t=7151
hui yong 	會用	c=1 d=1 t=264
hui you 	會有	c=1 d=1 t=4698
hui yuan 	會員	c=2 d=1 t=7600
hun 	混	c=1 d=1 t=7949
hun he 	混合	c=1 d=1 t=886
huo 	或	c=7 d=1.29766 t=9776
huo dong 	活動	c=5 d=1 t=10172
huo hu 	火狐	c=2 d=1.26185 t=6701
huo yuan jia 	霍元甲	c=1 d=1 t=3783
huo zhe 	或者	c=5 d=1.0478 t=7938
include 	include 	c=2 d=1.50916 t=450
jar 	jar 	c=1 d=1 t=1102
ji 	即	c=1 d=1 t=3189
ji 	及	c=1 d=1 t=10041
ji 	級	c=1 d=1 t=8282
ji 	記	c=2 d=1.99005 t=8919
ji 	集	c=4 d=1 t=5495
ji bai 	幾百	c=1 d=1 t=5124
ji ben 	基本	c=3 d=1.00022 t=9045
ji bi ji 	記筆記	c=1 d=1 t=6873
ji bie 	級別	c=2 d=1.99501 t=822
ji cheng 	繼承	c=1 d=1 t=3281
ji cheng 	集成	c=1 d=1 t=10038
ji chu 	基礎	c=4 d=1.01782 t=7846
ji ci 	幾次	c=1 d=1 t=9166
ji da 	極大	c=1 d=1 t=2772
ji du jiao 	基督教	c=2 d=1 t=4906
ji duan 	極端	c=2 d=1.42316 t=5159
ji fang 	機房	c=1 d=1 t=5047
ji fen 	積分	c=2 d=1 t=9894
ji ge 	幾個	c=1 d=1 t=7405
ji he 	集合	c=3 d=1.73345 t=9840
ji jian 	幾件	c=1 d=1 t=4099
ji jin 	激進	c=1 d=1 t=6622
ji jin hui 	基金會	c=3 d=2.44812 t=6283
ji ke 	極客	c=2 d=1.9802 t=2932
ji lei 	積累	c=0 d=0.1 t=2865
ji lu 	記錄	c=4 d=1 t=10108
ji lu pian 	紀錄片	c=5 d=2.00178 t=5472
ji lu zai 	記錄在	c=1 d=1 t=7147
ji nian 	紀念	c=1 d=1 t=5450
ji qi 	及其	c=1 d=1 t=10202
ji qi 	機器	c=2 d=1 t=6267
ji ran 	既然	c=1 d=1 t=8798
ji shi 	即使	c=3 d=1 t=9668
ji shi 	紀實	c=2 d=1.70469 t=5430
ji shi qi 	計時器	c=1 d=1 t=3056
ji shu 	技術	c=5 d=1 t=8839
ji shu fa 	計數法	c=1 d=1 t=10320
ji suan 	計算	c=5 d=1.00689 t=8142
ji suan ji 	計算機	c=36 d=1.32523 t=10255
ji suan qi 	計算器	c=1 d=1 t=8851
ji xu 	繼續	c=2 d=1 t=9862
ji yi 	記憶	c=1 d=1 t=7954
ji yu 	基於	c=1 d=1 t=8813
ji zhong 	集中	c=0 d=0.1 t=4484
ji zhu 	集註	c=0 d=0.1 t=3139
ji zu 	機組	c=2 d=1 t=6205
ji zuo 	記作	c=1 d=1 t=9845
jia 	假	c=1 d=1 t=8143
jia 	加	c=1 d=1 t=3372
jia 	夾	c=1 d=1 t=6523
jia 	家	c=1 d=1 t=8718
jia bian 	加邊	c=1 d=1 t=2728
jia dian 	加點	c=1 d=1 t=2726
jia fa 	加法	c=1 d=1 t=6749
jia fei mao 	加菲貓	c=2 d=1.68045 t=4130
jia ge 	價格	c=1 d=1 t=3758
jia gou 	架構	c=1 d=1 t=6143
jia mi 	加密	c=2 d=1.99005 t=3673
jia qi 	假期	c=3 d=1.57504 t=8898
jia qi lai 	加起來	c=0 d=0.1 t=7667
jia ru 	加入	c=1 d=1 t=2434
jia shang 	加上	c=1 d=1 t=659
